"","okres","pierwotna","finalna","co2","grupa","przetarg","kategoria","przeszle.przyszle","nowy.stary","data_zak","data_wyd","rok_zak","rok_wyd"
"393",5,40,13,158,"E",4,1,"","stary",2014-10-30,2016-07-25,2014,2016
"394",5,40,13,378,"E",4,1,"","stary",2012-07-31,2016-09-16,2012,2016
"395",10,40,13,130,"D",4,2,"","stary",2012-05-15,2016-09-22,2012,2016
"396",10,40,13,138,"E",4,1,"","stary",2015-12-30,2016-09-30,2015,2016
"397",20,40,13,127,"C",5,1,"","stary",2016-03-04,2017-08-30,2016,2017
"398",5,40,13,139,"E",5,1,"","stary",2016-04-29,2017-08-31,2016,2017
"399",10,40,13,127,"C",5,1,"","stary",2011-07-08,2017-10-20,2011,2017
"400",5,40,13,126,"A",5,2,"","stary",2016-10-18,2017-11-13,2016,2017
"401",6,40,13,129,"G",5,2,"","stary",2016-12-31,2017-11-13,2016,2017
"402",5,40,13,127,"G",5,1,"","stary",2016-09-09,2017-11-27,2016,2017
"403",5,80,26,248,"E",5,1,"","stary",2016-09-30,2017-11-30,2016,2017
"404",5,40,13,124,"E",2018,4,"przesz쿮","nowy",2016-06-22,2018-08-13,2016,2018
"405",45,40,13,125,"A",5,3,"","stary",2012-05-30,2018-03-12,2012,2018
"406",20,40,13,376,"F",2018,4,"przesz쿮","nowy",2016-08-25,2018-04-27,2016,2018
"407",10,80,26,273,"G",5,1,"","stary",2018-12-31,2018-05-30,2018,2018
"408",10,83,27,258,"G",4,1,"","stary",2014-05-12,2016-08-31,2014,2016
"409",3,43,14,150,"A",3,1,"","stary",2012-11-29,2015-11-30,2012,2015
"410",5,43,14,167,"E",4,1,"","stary",2015-11-30,2016-07-25,2015,2016
"411",5,43,14,134,"E",4,1,"","stary",2015-12-30,2016-09-30,2015,2016
"412",7,86,28,269,"A",4,1,"","stary",2015-08-18,2016-09-16,2015,2016
"413",10,43,14,137,"E",5,1,"","stary",2018-12-30,2017-09-25,2018,2017
"414",5,43,14,134,"F",5,1,"","stary",2016-08-04,2017-10-31,2016,2017
"415",5,43,14,135,"E",5,1,"","stary",2017-12-31,2017-11-28,2017,2017
"416",45,43,14,134,"A",5,3,"","stary",2014-01-24,2018-03-16,2014,2018
"417",45,43,14,134,"A",5,3,"","stary",2012-11-09,2018-03-16,2012,2018
"418",5,43,14,139,"E",2018,4,"przysz쿮","nowy",2017-10-12,2018-05-19,2017,2018
"419",10,43,14,137,"E",2018,NA,"","",2016-05-23,2018-10-25,2016,2018
"420",5,89,29,276,"C",4,1,"","stary",2015-01-12,2016-08-29,2015,2016
"421",15,135,44,533,"F",2,2,"","stary",2013-01-22,2015-02-06,2013,2015
"422",5,135,44,577,"E",4,1,"","stary",2015-09-30,2016-09-16,2015,2016
"423",7,46,15,144,"A",4,1,"","stary",2012-09-26,2016-12-01,2012,2016
"424",5,46,15,148,"E",2017,4,"przysz쿮","nowy",2017-03-31,2017-04-14,2017,2017
"425",15,46,15,427,"E",5,1,"","stary",2016-10-19,2017-08-31,2016,2017
"426",10,46,15,146,"E",2017,4,"przesz쿮","nowy",2016-09-22,2017-09-15,2016,2017
"427",15,46,15,144,"G",5,1,"","stary",2013-11-30,2017-09-25,2013,2017
"428",5,46,15,144,"F",5,1,"","stary",2016-10-06,2017-09-28,2016,2017
"429",5,92,30,293,"E",5,1,"","stary",2015-11-27,2017-09-29,2015,2017
"430",5,138,45,440,"E",5,1,"","stary",2016-09-30,2017-09-29,2016,2017
"431",5,46,15,144,"E",5,1,"","stary",2015-05-21,2017-10-27,2015,2017
"432",5,46,15,144,"F",5,1,"","stary",2016-02-29,2017-10-31,2016,2017
